Nr.,Bezeichnung,Hinterlegung
325,"""DONAUSTADT-PARTEI""",08.07.1997
326,"""dynamik 5 - europäisch, solidarisch, ökologisch, spirituell, politisch""",01.06.2001
327,"""Ebreichsdorfer Wahlgemeinschaft (EWG)""",08.10.1990
328,"""ECHT Josefstadt - Liste Heribert Rahdjian"", Kurzbezeichnung ""ECHT""",21.03.2013
329,"""Ein Herz für Inländer"" (Herz)",13.06.1988
330,"""ENOTNA LISTA - Einheitsliste (EL)""",25.07.1991
331,"""Ergokratische Partei Österreichs"", abgekürzt ""EPÖ""",03.03.1978
332,"""'Esobioterik'-Bewegung Europas (EBT)""",09.01.2003
333,"""Ethik-Partei-Europa""; Kurzform: ""EtP-EU"" In Österreich: ""Ethik-Partei-Europa/AUT""; Kurzform: EtP-EU/AUT""",17.08.2005
334,"""EU-Austrittspartei""",07.10.2011
335,"""EUGP - Europäische Generationen Partei""",22.02.2008
336,"""Euredo""",06.12.2011
337,"""EUROMED""",21.02.1997
338,"""Europäisch Asiatisch Arabische Union"" (EAAU)",10.11.2006
339,"""EUROPÄISCHE BÜRGERNOTWEHR ZUR WAHRUNG DER WÄHRUNGSPOLITISCHEN EINHEIT (EBN)""",10.09.2012
340,"""EUROPÄISCHE FREIHEITS-BEWEGUNG (EFB)""",28.06.1984
341,"""EUROPÄISCHE LIBERALE""",18.07.1990
342,"""Europäische Partei Ostara Bildungswerk"" (EPOBW)",13.06.1984
343,"""Europäische Partei Österreichs"", kurz ""E.P.Ö.""",01.04.1983
344,"""Fachschaftsliste der Universität für Bodenkultur""",25.01.1993
345,"""Fachschaftsliste""",06.05.1987
346,"""Familienpartei Österreich"" (Kurzbezeichnung ""FAPÖ"")",03.10.2005
347,"""Forum Austritt Österreichs aus der EU""",05.03.2013
348,"""FPÖ - Die Tiroler Freiheitlichen"", kurz ""FPÖ - Tirol""",06.05.2003
349,"""Frankenburger Alternative"" (FAL)",04.11.1998
350,"""FRAUENPARTEI""",25.10.1995
351,"""Freidemokraten (Freie)""",12.04.2012
352,"""Freie Demokraten Salzburg"" (FDS)",05.11.2003
353,"""Freie Demokratische Partei (FDP)""",30.06.1986
354,"""Freie Demokratische Partei Wien - Die Liberalen (F.D.P.)""",08.07.1994
355,"""Freie Humanistische Partei Österreichs""",13.10.1981
356,"""FREIE MEDIEN, BADEN""",27.03.1996
357,"""Freie Partei Tirol"", Abkürzung ""FPT""",30.11.2005
358,"""FREIE PATIENTENKAMMER in Gr. Interessengemeinschaft für eigenverantwortliche Patienten und freie Therapiewahl in ",11.08.1995
359,"""Freie Wiener Medien"" (FWM)",04.07.1997
360,"""Freies Bündnis Zukunft - Wien"", Kurzbezeichnung ""FBZ - Wien""",22.03.2010
361,"""FREIES BÜRGERFORUM - Partei für direkte Demokratie""",08.02.1983
362,"""FREIES EUROPA""",19.03.1997
363,"""Freiheitliche Partei Österreichs (FPÖ) - Die Freiheitlichen""",15.04.1977
364,"""Freiheitliche Partei Österreichs (FPÖ) - Die Freiheitlichen, Landesgruppe Salzburg""",15.04.1977
365,"""Freiheitliche Partei Österreichs (FPÖ) - Landesgruppe Niederösterreich - Freiheitliche Partei Niederösterreichs - ",18.09.1984
366,"""Freiheitliche Partei Österreichs (FPÖ), Landesgruppe Kärnten""",15.04.1977
367,"""Freiheitliche Partei Österreichs (FPÖ), Landesgruppe Oberösterreich""",15.04.1977
368,"""Freiheitliche Partei Österreichs (FPÖ), Landesgruppe Vorarlberg""",21.12.2005
369,"""Freiheitliche Partei Österreichs (FPÖ), Landesgruppe Wien""",15.04.1977
370,"""Freiheitliche Partei Österreichs (FPÖ), Landespartei Burgenland""",15.04.1977
371,"""Freiheitliche Partei Österreichs (FPÖ), Landespartei Steiermark""",15.04.1977
372,"""Für Tirol - Partei der Mitte""",11.07.2012
373,"""Gaddavista Partei Österreichs""",16.02.2012
374,"""GCA Global Change Alliance (Bündnis für globale Veränderung)""",06.12.2011
375,"""GELD und BÖRSE""",20.08.1987
376,"""Gemeinsam leben""",26.03.1990
377,"""GEMEINSCHAFT DER BÜRGERINNEN (GDB)""",22.08.2011
378,"""GEMEINSCHAFTLICHES-ÖSTERREICH (G-05)"", Kurzbezeichnung ""G-05""",16.10.2012
379,"""GEMEINSCHAFTLICHE-TIROLER-INITIATIVE (G-T-I)"", Kurzbezeichnung ""G-T-I""",18.12.2012
380,"""Gemeinwohl, Hausverstand, Verantwortung"", Abkürzung ""GHV""",04.05.1994
381,"""Gerechtigkeit Partei Österreich GPÖ""",23.08.2006
382,"""Gerechtigkeits-Bewegung""",23.06.1980
383,"""GERECHTIGKEITSPARTEI"" Überparteiliche Sammelbewegung für Wahrheit, Gerechtigkeit und Freiheit",31.10.1989
384,"""Gesamteuropäische Partei Österreichs (GEP)""",15.06.1976
385,"""GESAMTÖSTERREICHISCHE ALTERNATIVE LISTE (GAL)"" ",19.11.1982
386,"""Gesellschaftsdemokratische Partei Österreichs GPPÖ""",26.09.2006
387,"""Gesellschaftspolitische Vereinigung""",27.12.2006
388,"""GESTALTUNG für MENSCHEN (MENSCHEN ÖSTERREICH oder MENSCHEN)""",05.04.2005
389,"""GEWALTFREIE AKTION GLOBAL 2000""",01.09.1982
390,"""GPO - Generationen Partei Oesterreich""",29.10.2007
391,"""Grazer Bürgerliste"", Kurzbezeichnung ""GBL""",02.12.1991
392,"""Grazer Verkehrspartei""",06.02.2001
393,"""GRÜN - ALTERNATIVEN (GAL OÖ)""",06.05.1985
394,"""GRÜN ALTERNATIVE LISTE KORNEUBURG""",20.06.1990
395,"""Grün Alternative Liste Linz"" (GALL)",29.09.1986
396,"""GRÜN ALTERNATIVE STEIERMARK""",12.07.1985
397,"""GRÜNALGE"" (Grün-alternative Gemeindepolitik)",24.06.1986
398,"""GRÜN-ALTERNATIVE BÜRGERLISTE Gmunden (GABL)""",26.08.1985
399,"""GRÜN-ALTERNATIVE BÜRGERLISTE LANGENZERSDORF (GABL)""",16.01.1990
400,"""GRÜN-ALTERNATIVE BÜRGERLISTE Linz""",22.05.1985
401,"""Grün-Alternative Bürgerliste"", kurz ""GABL""",15.02.1988
402,"""GRÜN-ALTERNATIVE LISTE GRAZ/Liste unabhängiger Grazerinnen und Grazer (ALG)""",09.01.1987
403,"""GRÜN-ALTERNATIVE LISTE GRAZ/Unabhängige (ALG)""",09.01.1987
404,"""GRÜN-ALTERNATIVE LISTE GRAZ/Unabhängige Bürgerlisten (ALG)""",09.01.1987
405,"""Grün-Alternative Liste Österreichs (GALÖ)""",16.09.1982
406,"""GRÜN-ALTERNATIVE LISTE STEIERMARK (GRÜNE)"", Kurzbezeichnung ""VGÖ - AL""",13.03.1987
407,"""Grün-Alternative Partei Österreichs""",23.09.1982
408,"""GRÜN-ALTERNATIVE SAMMLUNG STEIERMARK"", Kurzbezeichnung ""GRAS-STEIERMARK""",26.06.1986
409,"""GRÜN-ALTERNATIVE SAMMLUNG WIEN"", Kurzbezeichnung ""GRAS-WIEN""",04.03.1986
410,"""Grün-Alternative Steiermark (Grüne)""",15.02.1988
411,"""Grün-alternative-Bürgerliste-Bürmoos, GABL""",20.09.1983
412,"""Grün-Alternatives Graz (Grüne)""",15.02.1988
413,"""Grundrisse""",05.12.2001
414,"""Grüne Alternative Hernals"", Kurzbezeichnung ""GRÜNE""",24.11.1986
415,"""Grüne Alternative Klagenfurt/Zelena Alternativa Celovec (GA Klagenfurt/ZA Celovec)""",16.09.1992
416,"""Grüne Alternative Liste Schwechat"", Kurzbezeichnung ""Die Grünen Schwechat""",19.04.1989
417,"""Grüne Alternative Liste Steyr"", Kurzformen ""GAL-Steyr"" bzw ""Die Grünen Steyr (Grüne)""",26.07.1984
418,"""Grüne Alternative Sammlung Hernals"" (GRAS Hernals)",07.05.1986
419,"""Grüne Alternative Waidhofen/Ybbs"", kurz ""GAL""",23.12.1992
420,"""GRÜNE ALTERNATIVE, DIE GRÜNEN DEUTSCH-WAGRAM"", kurz ""DIE GRÜNEN""",25.10.1995
421,"""GRÜNE ARBEITNEHMER - Grüne in der Arbeiterkammer"", Kurzbezeichnung ""GA""",18.02.2000
422,"""GRÜNE BEWEGUNG""",09.04.1982
423,"""Grüne Liste Graz (Grüne)""",15.02.1988
424,"""Grüne Liste Kreuttal"" (Kurzbezeichnung GLIK)",14.06.1995
425,"""GRÜNE LISTE Neukirchen-Zipf""",01.08.1985
426,"""Grüne Liste Österreich (GLÖ)""",25.08.1992
427,"""GRÜNE LISTE ÖSTERREICHS"", abgekürzt ""GLÖ""",17.05.1983
428,"""Grüne Liste Steiermark (Grüne)""",15.02.1988
429,"""Grüne Liste Wien"", Kurzbezeichnung ""GLW""",25.08.1992
430,"""Grüne Mitte Österreichs""",11.01.1982
431,"""Grüne Mitte""",05.06.1981
432,"""GRÜNE ÖSTERREICHS (GRÜNE)""",27.09.1982
433,"""GRÜNE ÖSTERREICHS (GRÜNE)""",26.11.1984
434,"""GRÜNE ÖSTERREICHS"" (GRÜNE) -Vereinte Grüne Parteien-",26.11.1984
435,"""GRÜNE PARTEI ÖSTERREICHS""",07.05.1980
436,"""GRÜNE PLATTFORM"", Abkürzung ""GP""",31.07.1990
437,"""Grüne Steiermark (Grüne)""",15.02.1988
438,"""Grüne und Alternative Student/inn/enliste Uni Wien"", Kurzbezeichnung ""Grüne"", Abkürzung ""GRAS""",10.09.1990
439,"""Grüne und Alternative StudentInnen - Grüne (GRAS)""",28.12.1992
440,"""Grüne Union Österreichs""",18.02.1982
441,"""GRÜNE"" (GRÜNE)",26.11.1984
442,"""GRÜNES FORUM ÖSTERREICH - WAHLGEMEINSCHAFT ÖSTERREICHISCHER GRÜNER"" (Wahlplattform von ",22.02.1983
443,"""Grünes Graz (Grüne)""",15.02.1988
444,"""Grünes Unabhängiges Österreich"", kurz ""Ö""",18.03.2003
445,"""Gruppe Arbeiterstandpunkt""",27.01.1986
446,"""Gruppe für revolutionäre Arbeiter/innen/politik (GRA)""",08.09.2004
447,"""Gruppe Internationalistische Kommunisten""",13.03.1989
448,"""GRUWI-Plenum""",20.03.1995
449,"""Gurgiser & Team - BürgerKlub Tirol""",13.01.2013
450,"""H.O.L.A.""",17.07.2000
451,"""HALT-BEWEGUNG""",23.05.1984
452,"""HAUSFRAUENKARTELL""",04.04.1995
453,"""Healing Power"" (HP)",05.11.1993
454,"""Heimatpartei Österreich"", Kurzbezeichnung ""HPÖ""",28.02.2008
455,"""Heinzelmännchenpartei""",10.09.2012
456,"""HELP FOR YOU Plattform für spirituelle Lebenshilfe""",12.03.2007
457,"""Hennersdorfer Bürgerinitiative"", kurz ""HeBI""",18.12.1989
458,"""Herbert Starl - Alpenforum, der Tourismus""",05.07.1994
459,"""HERNALSER GRÜNE ALTERNATIVE"", Kurzbezeichnung ""GRÜNE""",24.11.1986
460,"""HIV (Haben Immer Vernunft)""",21.06.1994
461,"""hpö - die hausstöcke""",03.02.2003
462,"""Humanistische Aktion Universität"", Abkürzung ""HAU""",09.11.1993
463,"""Humanistische Partei - Bezirksgruppe Alsergrund"", Abkürzung ""HP""",09.11.1993
464,"""Humanistische Partei - Bezirksgruppe Hernals"", Abkürzung ""HP""",09.11.1993
465,"""Humanistische Partei - Bezirksgruppe Währing"", Abkürzung ""HP""",09.11.1993
466,"""Humanistische Partei - Regionalsektion Wien"", Abkürzung ""HP""",09.11.1993
467,"""Humanistische Partei Österreichs"" (HPÖ)",18.01.2006
468,"""Humanistische Partei"", Abkürzung ""HP""",09.11.1993
469,"""ICH WÄHLE NICHT""",05.05.2008
470,"""IndianerInnenpartei mit Hausverstand Österreichs"", kurz ""IÖ""",10.11.2012
471,"""INITIATIVE 2000""",29.09.2006
472,"""Initiative für eine revolutionäre Organisation""",02.05.2001
473,"""INITIATIVE FÜR GAADENER LEBENSQUALITÄT (IGL)""",17.12.1991
474,"""Initiative für mehr direkte Demokratie""",08.02.2002
475,"""Initiative für Öffentlichkeit und Kommunikation"", Abkürzung ""IfÖK""",13.10.1989
476,"""Initiative Haschisch Legal""",05.04.1982
477,"""Initiative Heimat und Umwelt"", abgekürzt ""IHU""",12.06.1990
478,"""Initiative Lebenswertes Seekirchen (LeSe) Partei für sachbezogene und unabhängige Gemeindepolitik in Seekirchen""",12.12.1994
479,"""Initiative Neue Linke"", Kurzbezeichnung ""Neue Linke"", abgekürzt ""INL"" und ""NL""",11.11.1987
480,"""Initiative Ökologischer Demokraten"", kurz ""IÖD""",22.08.1997
481,"""Initiative Österreichischer Atomkraftwerksgegner"" (kurz ""IÖAG"")",05.04.1978
482,"""Initiative zur Verbreitung unterbliebener Nachrichten - IVUN""",20.02.1986
483,"""Inn Piraten""",28.09.2012
484,"""Inovative Fraktion""",07.01.2009
485,"""INTERESSENVERBAND HANDEL-GEWERBE-INDUSTRIE INFORMATION FÜR WIRTSCHAFT UND HUMANITÄT"", ",31.03.1983
486,"""Internationales Rechtshilfeforum"", Kurzbezeichnung ""I.R.F.""",17.02.1987
487,"""ISLAMISCH SOZIALE UNION (ISU)""",04.01.2010
488,"""Jakobinerclub""",30.04.2012
489,"""Jetzt Oder Nie""",15.06.1984
490,"""Junge Liberale""",28.01.2000
491,"""Kampuchea-Solidaritätskomitee"", abgekürzt ""KSK""",29.06.1981
492,"""Kärntner Bürgerliste"" (KBL)",28.08.1987
493,"""Keine-Partei""",29.06.2005
494,"""Kern Gesundes Österreich"", kurz ""KGÖ""",16.04.2009
495,"""KOMitee zur Verteidiguing der Gesellschaft gegen den Staat"" (KVGS)",14.10.1983
496,"""Kommunistische Organisation Wien"" (KOW)",07.04.1981
497,"""Kommunistische Partei Österreichs (KPÖ)""",13.01.1976
498,"""Kommunistischer Bund Österreichs (KB)""",20.06.1977
499,"""Kommunistischer Bund Salzburg"" (KB Salzburg)",29.12.1980
500,"""KONSERVATIVE PARTEI ÖSTERREICHS"" (K) - Die Konservativen -",11.07.1988
501,"""Konservativ-liberale Partei Österreichs""",19.06.1979
502,"""KOROSKA ENOTNA LISTA - KÄRNTNER EINHEITSLISTE (KEL)""",30.09.1987
503,"""Kritische Autonome Zelle""",10.07.1995
504,"""KRITISCHE DEMOKRATEN - KD""",09.11.1990
505,"""Kroatische Demokratische Union"", kurz ""KDU""",06.07.2008
506,"""KULTURVERBAND denkmalgeschützter Objekte""",17.11.1983
507,"""L.G.F., Liberales Golf Forum""",12.02.2010
508,"""L.U.S.T., Liberale Union Österreichs""",28.10.2004
509,"""Landesparteiorganisation der ÖSTERREICHISCHEN VOLKSPARTEI (ÖVP) im Bundesland Salzburg""",06.02.1995
510,"""Leben ist eine bewegliche Einheit (L.i.e.b.E.)""",06.07.1995
511,"""LEBEN""",18.03.1996
512,"""Lebenswerte Partei Österreichs"", kurz ""LPÖ""",29.11.2011
513,"""Lebenswerte Stadt""",11.09.1990
514,"""LIBERALDEMOKRATISCHE PARTEI"" (LDP) - Die Liberalen - ",25.04.1986
515,"""liberaldemokratische Partei"", kurz ""LDP""",20.07.2009
516,"""Liberal-Demokratische Union"", Abkürzung ""LDU""",25.08.1992
517,"""Liberal-Demokratisches Forum"" (LDF)",09.02.1993
518,"""LIBERALE BEWEGUNG ÖSTERREICHS"" (LBÖ)",18.07.1990
519,"""Liberale Demokraten"", Abkürzung ""LD""",13.11.1992
520,"""LIBERALE EUROPA - UNION""",18.07.1990
521,"""LIBERALE PARTEI ÖSTERREICHS"" (LPÖ)",25.04.1986
522,"""Liberale Stadtpartei""",19.06.2002
523,"""liberale Volksunion""",29.06.2009
524,"""Liberales Arbeitnehmerinnen und Arbeitnehmer Forum"", Abkürzung ""LIF""",11.11.1999
525,"""Liberales Forum (LIF)""",09.02.1993
526,"""Liberales Forum"" (LF)",09.02.1993
527,"""LIBERALES FORUM"" Österreich (LFÖ)",09.02.1993
528,"""Liberales Studentinnen und Studenten Forum - Unigruppe Wien"", Abkürzung ""LSF""",24.01.1995
529,"""Liberales Studentinnen und Studenten Forum - WU-Wien"", Abkürzung ""LSF - die Liberalen WU"" bzw ""LSFWU""",17.03.1998
530,"""Liberales Studentinnen und Studenten Forum Graz (LSFG)""",28.02.1997
531,"""Liberales Studentinnen und Studenten Forum Linz"", Kurzbezeichnung ""LSF-Linz""",10.01.1997
532,"""Liberales Studentinnen und Studenten Forum Salzburg"", Abkürzung ""LSF - die Liberalen"" ",15.04.1998
533,"""Liberales Uniforum"", Abkürzung ""LUF""",08.04.1999
534,"""Liberal-Fortschrittliche Partei - Pepi Wagner"" LFP",15.04.1996
535,"""Liberal-Republikanische Partei (LRP)""",30.06.1986
536,"""LIBERAL-SOZIALE PARTEI"" (LSP)",25.02.1986
537,"""LIBERTÄRE ASSOZIATION ÖSTERREICH-(LAÖ)""",16.10.1985
538,"""Libertäres Plenum Linz""",27.10.1988
539,"""Linke Alternative Liste"" (LAL)",12.06.1986
540,"""LINZER BÜRGERRAT"", Kurzform ""LBR""",02.01.2012
541,"""Liste Baum""",29.09.1992
542,"""Liste Bürger & Umwelt (LBU)""",05.07.1990
543,"""Liste der EU-Opposition Gabriele Wladyka"", abgekürzt ""LEO""",18.01.1994
544,"""Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit""",06.05.2004
545,"""Liste gegen Ausländer""",11.12.1981
546,"""Liste Hirschmann""",10.06.2005
547,"""LISTE KRITISCHER STUDENTEN""",10.09.1984
548,"""Liste Maria Lanzendorf"", kurz ""LiMaLa""",28.06.1990
549,"""LISTE ÖSTERREICH""",18.12.2012
550,"""Liste Parndorf (LIPA)""",28.12.1995
551,"""Liste Steiermark"", Kurzbezeichnung ""Liste""",21.06.2010
552,"""Liste Unabhängiger MedizinerInnen"" (LUM)",02.04.1997
553,"""Liste Unabhängiger Studierender"", Kurzbezeichnung ""LUST""",27.02.1995
554,"""LISTE VÖSENDORF 2000""",10.03.1998
555,"""LM Arbeitsgemeinschaft für Medienproduktion"", Kurzbezeichnung ""LM""",22.02.1989
556,"""LSF-Die Liberalen Linz""",12.04.2001
557,"""Manfred Bauer""",04.08.1992
558,"""Männerpartei""",04.02.2008
559,"""Marco Polo-Gesellschaft"", Untertitel ""Gesellschaft zur Förderung europäisch-chinesischer Kooperation""",30.03.1981
560,"""Marxistische Gruppe (MG)""",15.03.1985
561,"""Marxistisch-Leninistische Partei Österreichs (MLPÖ)""",05.08.1983
562,"""Medaillon""",30.11.1994
563,"""Mehrheitspartei""",17.07.2000
564,"""MENSCH UND GESELLSCHAFT""",28.03.1990
565,"""Milser Dorf Blatt""",26.01.1996
566,"""Mit Anstand"" (Anstaendig)",07.12.2011
567,"""Mitte-Partei Österreichs"", kurz ""MPÖ""",18.06.2012
568,"""Mosaik""",16.06.1988
569,"""MUTBÜRGER"", kurz ""MUT""",24.10.2012
570,"""NACHBAR IN NOT""",10.11.1995
571,"""NATIONAL - FREIHEITLICHE"" (NF)",08.07.1987
572,"""National Freiheitliche Aktion"", abgekürzt ""NFA""",20.04.1984
573,"""Nationaldemokratische Partei (NDP)""",01.08.1975
574,"""Nationale Errettungspartei"" (NEP)",14.10.1983
575,"""NATIONALE FRONT""",09.07.1984
576,"""Nationale Rechtspartei - N.R.P.""",07.09.1977
577,"""NATIONALE VOLKS-PARTEI"" (N V P)",05.02.2008
578,"""Nationale Volkspartei"", kurz ""NVP""",08.11.2007
579,"""National-Europäische-Partei-Österreich"", Kurzform N.E.P.Ö.",28.02.1983
580,"""National-freiheitliche Aktion (NFA)""",17.05.1984
581,"""National-freiheitliche Partei (NFP)""",21.05.1984
582,"""National-freiheitliche Sammlung (NFS)"" ",21.05.1984
583,"""Nationalistische Befreiungs Front"" (NBF)",13.12.1979
584,"""Nationalistischer Bund Nordland (NBN)""",18.06.1979
585,"""National-Konservative Union (NAKU)""",02.05.1985
586,"""NATIONALREALISTISCHE ORDNUNGSPARTEI (NROP)""",24.08.1976
587,"""Naturschutz Aktiv""",15.06.1984
588,"""Naturschutz Aktiv""",23.07.1986
589,"""NEIN zur Atom-EU Bürgerliste Neutrales Österreich""",15.03.1994
590,"""NEOS - Das neue Österreich""",10.08.2012
591,"""Neue Männerpartei Österreichs (NMÖ)""",20.04.2009
592,"""NEUE MITTE""",17.11.1975
593,"""NEUE ORDNUNG (NO)""",04.05.1987
594,"""NEUE PARTEI ÖSTERREICH""",01.12.1997
595,"""NEUE VOLKSPARTEI"", kurz ""NVP""",15.06.1989
596,"""NEUES EUROPA""",20.10.1987
597,"""Neues Leben""",22.09.1982
598,"""Neusoziale demokratische Partei"" (NSDP)",11.12.1981
599,"""Neutrales Österreich""",10.04.1996
600,"""Neutrales Österreich"", Kurzbezeichnung ""NEU""",29.04.1996
601,"""Notwehrgemeinschaft""",07.07.2003
602,"""NPÖ Nationaldemokratische Partei Österreichs""",08.04.2002
603,"""ÖBP"" Österreichische Bürger Partei",07.02.2012
604,"""ÖBWP Österreichische Bürger und Wirtschaftspartei""",11.08.2004
605,"""ÖEP - Österreichische Ethikpartei""",04.08.2009
606,"""Offene Bürgerliste Dornbirn""",21.01.1993
607,"""ÖKO-Liberale Partei (ÖLP)""",30.06.1986
608,"""Ökologisch-Demokratische Partei"", Abkürzung ""ÖDP""",25.08.1992
609,"""Ökologische Informationen (ÖI)""",11.12.1991
610,"""Ökologische Linke"" (ÖKOLI)",01.12.1998
611,"""Organisation freier Staatsbürger Österreich"", Abkürzung ""OFÖST""",30.05.1983
612,"""Organisation für Atheismus und Aufklärung"", kurz ""OAA""",04.01.1990
613,"""Österreich 2000, Partei für Freiheit, Brüderlichkeit und Toleranz""",30.01.1990
614,"""ÖSTERREICH SOUVERÄN und FREI"" (ÖSF)",30.09.2005
615,"""Österreich-Club""",27.03.1997
616,"""Österreichische aktive Partei"", Abkürzung ""Ö.A.P.""",20.09.1996
617,"""ÖSTERREICHISCHE ALLGEMEINE PARTEI"", Abkürzung ""ÖAP""",10.08.1982
618,"""Österreichische Arbeiterpartei""",12.07.1988
619,"""Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP) Landesorganisation Steiermark""",06.02.1992
620,"""Österreichische Autofahrer- und Bürgerinteressen-Partei (ÖABP), Landesorganisation für Wien, Niederösterreich und ",12.01.1993
621,"""Österreichische Autofahrer- und Bürgerinteressenspartei (ÖABP) - Landesorganisation Tirol""",05.05.1993
622,"""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP)",05.11.1991
623,"""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP) - Landespartei Oberösterreich",23.06.1993
624,"""Österreichische Autofahrer- und Bürgerinteressens-Partei"" (ÖABP) - Landespartei Salzburg",27.10.1992
625,"""Österreichische Befehlsverweigerer Partei & Befehlsverweigerer Partei Österreichs"" ÖBP&BPÖ",27.03.2006
626,"""Österreichische Bierschutzpartei"", Kurzbezeichnung ""ÖBSP""",24.06.2009
627,"""Österreichische Bürger Partei (ÖBP)""",30.12.2004
628,"""Österreichische Bürgerbewegung""",28.07.2008
629,"""Österreichische Bürgerinitiative"", Kurzbezeichnung ""ÖBI""",05.02.1987
630,"""Österreichische Bürgerpartei Ö.B.P.""",14.11.1995
631,"""Österreichische Bürgerpartei""",29.06.1990
632,"""ÖSTERREICHISCHE BÜRGERPARTEI"", abgekürzt ""ÖBP""",12.11.1982
633,"""ÖSTERREICHISCHE DEMOKRATISCHE PROPORTION"", Kurzbezeichnung ""ÖDP""",22.12.1993
634,"""Österreichische Freiheitspartei"" (ÖFP)",14.10.1983
635,"""ÖSTERREICHISCHE FRIEDENSPARTEI (ÖFPA)""",20.11.1985
636,"""Österreichische Gerechtigkeitspartei"", kurz ""ÖGP""",11.08.1980
637,"""ÖSTERREICHISCHE GESELLSCHAFT FÜR INTERMEDIALE ZUSAMMENARBEIT"", Kurzbezeichnung ""INTERMEDIA""",24.02.1987
638,"""Österreichische Gesellschaft für Konsumenteninformation"", Kurzbezeichnung ""ÖGK""",22.02.1989
639,"""Österreichische Gesellschaft für menschliches Recht (ÖGmR)""",22.08.1983
640,"""Österreichische Gesellschaft für Nahrungsinformation"", Kurzbezeichnung ""ÖGN""",24.02.1987
641,"""Österreichische Gesellschaft für Verbraucherinformation und Konsumentenschutz"", Kurzbezeichnung ""ÖGV""",21.08.1989
642,"""ÖSTERREICHISCHE GESELLSCHAFT FÜR VERBRAUCHERINFORMATION"", Kurzbezeichnung ""ÖGV""",17.03.1987
643,"""Österreichische Gesellschaft zur Altstadterhaltung"", Kurzbezeichnung ""ÖGA""",21.08.1989
644,"""ÖSTERREICHISCHE HOCHSCHULPARTEI (ÖHP)""",23.05.1986
645,"""Österreichische House Partei"" ÖHoP",27.03.2003
646,"""Österreichische humanistische Partei (ÖHP)""",13.03.1981
647,"""Österreichische Initiative für Umwelt und Kultur (ÖIUK)""",10.08.1995
648,"""Österreichische Integrationspartei""",12.09.2000
649,"""ÖSTERREICHISCHE KONSERVATIVE UNION, ÖKU""",07.11.1985
650,"""Österreichische MigrantInnenpartei"", Kurzbezeichnung ""ÖMP""",26.03.2007
651,"""Österreichische Mittelstandspartei"", kurz ""OMP""",04.12.1978
